"Parent ID","Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Description","Excerpt","Product Published","Product Modified","Type","Visibility","Featured","Virtual","Downloadable","Price","Sale Price","Sale Price Dates From","Sale Price Dates To","Weight","Weight Unit","Height","Height Unit","Width","Width Unit","Length","Length Unit","Category","Tag","Featured Image","Product Gallery","Tax Status","Tax Class","File Download","Download Limit","Download Expiry","Manage Stock","Quantity","Stock Status","Allow Backorders","Sold Individually","Up-Sells","Cross-Sells","Product URL","Button Text","Purchase Note","Product Status","Comment Status"
,,"402","1892080","Balconetta Festonata &#8211; Mod. BFE-80","modello-bfe-80","http://localhost:8888/sidi/shop/terra/modello-bfe-80/",,,"11/11/2013","01/08/2014","Semplice","Catalog & Search","No","No","No",,,,,,"kg","24.5","cm","77","cm","80","cm","Collezione Terra",,,,,,,,,"Yes","45","In Stock","No","No",,,,,,"Publish","Open"
,,"401","1891091","Vaso angolare doppio festone","vaso-angolare-doppio-festone","http://localhost:8888/sidi/shop/senza-categoria/vaso-angolare-doppio-festone/",,,"11/11/2013","11/18/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"400","1891091","Semicerchio doppio festone","semicerchio-doppio-festone","http://localhost:8888/sidi/shop/senza-categoria/semicerchio-doppio-festone/",,,"11/11/2013","11/18/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"399","1891091","Balconetta festonata","balconetta-festonata","http://localhost:8888/sidi/shop/senza-categoria/balconetta-festonata/",,,"11/11/2013","11/18/2013","Raggruppato","Hidden","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"398","1805050","Vaso Angolare Liscio &#8211; Mod. AA-33","modello-aa-33","http://localhost:8888/sidi/shop/terra/modello-aa-33/",,,"11/11/2013","01/08/2014","Semplice","Catalog & Search","No","No","No",,,,,,"kg","51","cm","28","cm","33","cm","Collezione Terra",,,,,,,,,"Yes","30","In Stock","No","No",,,,,,"Publish","Open"
,,"397","1807055","Angolare Millerighe &#8211; Mod. AMC-55","modello-amc-55","http://localhost:8888/sidi/shop/terra/modello-amc-55/",,,"11/11/2013","01/08/2014","Semplice","Catalog & Search","No","No","No",,,,,,"kg","52","cm","40","cm","44","cm","Collezione Terra",,,,,,,,,"Yes","24","In Stock","No","No",,,,,,"Publish","Open"
,,"396","1809057","Semicerchio Millerighe &#8211; Mod. SMC-57","modello-smc-57","http://localhost:8888/sidi/shop/terra/modello-smc-57/",,,"11/11/2013","01/08/2014","Semplice","Catalog & Search","No","No","No",,,,,,"kg","55","cm","50","cm","54","cm","Collezione Terra",,,,,,,,,"Yes","24","In Stock","No","No",,,,,,"Publish","Open"
,,"395","1804550","Vaso a Parete Baccellato &#8211; Mod. BCP-50","modello-bcp-50","http://localhost:8888/sidi/shop/terra/modello-bcp-50/",,,"11/11/2013","01/08/2014","Semplice","Catalog & Search","No","No","No",,,,,,"kg","42","cm","30","cm","49","cm","Collezione Terra",,,,,,,,,"Yes","30","In Stock","No","No",,,,,,"Publish","Open"
,,"394","1891091","Vaso Angolare Liscio","vaso-angolare-liscio","http://localhost:8888/sidi/shop/senza-categoria/vaso-angolare-liscio/",,,"11/11/2013","01/08/2014","Raggruppato","Hidden","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"393","1891091","Angolare Millerighe","angolare-millerighe","http://localhost:8888/sidi/shop/senza-categoria/angolare-millerighe/",,,"11/11/2013","01/08/2014","Raggruppato","Hidden","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
,,"392","1891091","Semicerchio Millerighe","semicerchio-millerighe","http://localhost:8888/sidi/shop/senza-categoria/semicerchio-millerighe/",,,"11/11/2013","01/08/2014","Raggruppato","Hidden","No","No","No",,,,,,"kg","24","cm","95","cm","98","cm","Uncategorized",,,,,,,,,"No",,"In Stock","No","No",,,,,,"Publish","Open"
